City,Date,PM25_daily,Year,Month
Montr̩al,1/1/2020,4.333333333,2020,1
Montr̩al,1/2/2020,7.625,2020,1
Montr̩al,1/3/2020,10.75,2020,1
Montr̩al,1/4/2020,4.416666667,2020,1
Montr̩al,1/5/2020,3.833333333,2020,1
Montr̩al,1/6/2020,10.33333333,2020,1
Montr̩al,1/7/2020,8.791666667,2020,1
Montr̩al,1/8/2020,10.58333333,2020,1
Montr̩al,1/9/2020,4.833333333,2020,1
Montr̩al,1/10/2020,11.91666667,2020,1
Montr̩al,1/11/2020,8.5,2020,1
Montr̩al,1/12/2020,3.125,2020,1
Montr̩al,1/13/2020,7.75,2020,1
Montr̩al,1/14/2020,11.29166667,2020,1
Montr̩al,1/15/2020,19.20833333,2020,1
Montr̩al,1/16/2020,6.260869565,2020,1
Montr̩al,1/17/2020,5.875,2020,1
Montr̩al,1/18/2020,9.125,2020,1
Montr̩al,1/19/2020,5.583333333,2020,1
Montr̩al,1/20/2020,5.375,2020,1
Montr̩al,1/21/2020,8.708333333,2020,1
Montr̩al,1/22/2020,11.29166667,2020,1
Montr̩al,1/23/2020,15.125,2020,1
Montr̩al,1/24/2020,18.125,2020,1
Montr̩al,1/25/2020,8.166666667,2020,1
Montr̩al,1/26/2020,5.958333333,2020,1
Montr̩al,1/27/2020,6.5,2020,1
Montr̩al,1/28/2020,2.625,2020,1
Montr̩al,1/29/2020,8.875,2020,1
Montr̩al,1/30/2020,12.29166667,2020,1
Montr̩al,1/31/2020,29.54166667,2020,1
Montr̩al,2/1/2020,31.58333333,2020,2
Montr̩al,2/2/2020,43.08333333,2020,2
Montr̩al,2/3/2020,14.08333333,2020,2
Montr̩al,2/4/2020,7.291666667,2020,2
Montr̩al,2/5/2020,3.916666667,2020,2
Montr̩al,2/6/2020,7.125,2020,2
Montr̩al,2/7/2020,2.833333333,2020,2
Montr̩al,2/8/2020,5.25,2020,2
Montr̩al,2/9/2020,18.125,2020,2
Montr̩al,2/10/2020,24.375,2020,2
Montr̩al,2/11/2020,30.54166667,2020,2
Montr̩al,2/12/2020,6.458333333,2020,2
Montr̩al,2/13/2020,7.916666667,2020,2
Montr̩al,2/14/2020,4.958333333,2020,2
Montr̩al,2/15/2020,6.75,2020,2
Montr̩al,2/16/2020,9.875,2020,2
Montr̩al,2/17/2020,6.541666667,2020,2
Montr̩al,2/18/2020,10.94444444,2020,2
Montr̩al,2/19/2020,2.666666667,2020,2
Montr̩al,2/20/2020,7.958333333,2020,2
Montr̩al,2/21/2020,7.833333333,2020,2
Montr̩al,2/22/2020,11.83333333,2020,2
Montr̩al,2/23/2020,17.08333333,2020,2
Montr̩al,2/24/2020,11.95833333,2020,2
Montr̩al,2/25/2020,12.45833333,2020,2
Montr̩al,2/26/2020,5.541666667,2020,2
Montr̩al,2/27/2020,4.666666667,2020,2
Montr̩al,2/28/2020,4.75,2020,2
Montr̩al,2/29/2020,6.291666667,2020,2
Montr̩al,3/1/2020,7.375,2020,3
Montr̩al,3/2/2020,15.08333333,2020,3
Montr̩al,3/3/2020,20.75,2020,3
Montr̩al,3/4/2020,4.083333333,2020,3
Montr̩al,3/5/2020,6.052631579,2020,3
Montr̩al,3/6/2020,7.333333333,2020,3
Montr̩al,3/7/2020,4,2020,3
Montr̩al,3/8/2020,9.5,2020,3
Montr̩al,3/9/2020,11.70833333,2020,3
Montr̩al,3/10/2020,17.58333333,2020,3
Montr̩al,3/11/2020,4,2020,3
Montr̩al,3/12/2020,9.583333333,2020,3
Montr̩al,3/13/2020,3.125,2020,3
Montr̩al,3/14/2020,4.041666667,2020,3
Montr̩al,3/15/2020,4.041666667,2020,3
Montr̩al,3/16/2020,4.666666667,2020,3
Montr̩al,3/17/2020,6.208333333,2020,3
Montr̩al,3/18/2020,6.166666667,2020,3
Montr̩al,3/19/2020,10.33333333,2020,3
Montr̩al,3/20/2020,3.666666667,2020,3
Montr̩al,3/21/2020,3.625,2020,3
Montr̩al,3/22/2020,4.458333333,2020,3
Montr̩al,3/23/2020,5.583333333,2020,3
Montr̩al,3/24/2020,10.29166667,2020,3
Montr̩al,3/25/2020,7.666666667,2020,3
Montr̩al,3/26/2020,9.541666667,2020,3
Montr̩al,3/27/2020,4.833333333,2020,3
Montr̩al,3/28/2020,8.5,2020,3
Montr̩al,3/29/2020,4.625,2020,3
Montr̩al,3/30/2020,2.708333333,2020,3
Montr̩al,3/31/2020,3.916666667,2020,3
Montr̩al,4/1/2020,4.217391304,2020,4
Montr̩al,4/2/2020,3.041666667,2020,4
Montr̩al,4/3/2020,4.708333333,2020,4
