File generated on // Fichier créé sur, 2025-02-14

Pollutant // Polluant:, PM2.5
Units // Unités, µg/m3
Note // Note,Data is hour ending local standard time // Données en heure normale locale
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles

Pollutant//Polluant,Method Code//Code Méthode,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-01,15,10,4,1,8,11,9,9,7,6,6,5,5,5,5,5,6,7,10,8,7,9,9,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-02,7,8,8,8,7,7,8,6,6,7,5,5,4,3,4,7,12,10,12,16,18,15,11,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-03,11,10,12,12,16,14,14,11,10,11,10,11,12,11,10,11,17,28,32,31,30,23,22,20
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-04,16,15,15,15,15,14,16,17,15,13,16,15,14,14,16,16,20,20,23,30,30,27,18,15
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-05,12,16,18,20,20,17,14,9,8,5,4,3,3,4,3,3,5,5,4,5,8,8,7,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-06,8,7,6,5,5,5,5,6,6,7,7,8,8,9,9,13,14,11,14,15,8,5,5,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-07,7,11,8,7,7,4,4,5,6,6,4,4,4,6,6,7,8,7,7,4,4,9,8,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-08,5,6,8,8,7,7,7,8,8,7,8,10,10,9,10,8,10,11,15,13,10,11,11,9
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-09,9,11,14,7,6,7,6,5,7,8,8,8,8,4,3,4,7,13,8,5,3,3,3,6
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-10,8,7,2,2,2,5,8,12,8,5,3,3,6,5,5,7,8,11,11,9,7,8,8,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-11,9,12,14,14,12,12,12,14,21,20,15,16,14,14,12,12,11,11,14,15,11,11,12,12
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-12,13,15,19,19,23,27,28,27,27,26,25,23,22,21,19,16,14,14,14,15,14,13,13,14
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-13,16,16,15,13,12,11,10,11,12,11,10,11,14,13,9,11,11,9,7,9,11,11,13,14
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-14,15,17,18,19,18,20,18,19,22,24,25,24,27,26,26,25,27,30,32,34,35,34,34,33
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-15,38,37,34,32,29,25,22,14,22,24,26,19,21,20,20,20,18,16,13,14,13,11,12,11
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-16,9,8,6,5,4,4,3,2,2,3,2,2,2,2,4,4,5,6,7,8,6,5,4,5
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-17,4,4,4,4,6,6,7,3,3,2,3,3,3,3,3,3,4,5,6,5,3,4,4,4
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-18,5,4,4,3,3,3,4,4,4,3,3,4,4,5,4,4,5,7,6,5,6,6,7,8
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-19,6,7,10,9,6,7,9,14,14,11,12,11,16,12,10,11,12,15,21,15,16,18,19,28
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-20,28,28,30,33,35,38,35,29,34,41,21,10,13,7,3,3,3,2,4,4,4,5,9,7
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-21,8,8,7,5,5,4,3,3,5,7,10,5,5,5,7,8,6,8,11,12,13,16,14,10
PM2.5,184,050103,Montréal,QC,45.64103,-73.49968,2021-01-22,12,12,15,17,18,16,18,16,18,21,16,9,7,4,4,5,4,5,6,7,4,3,4,4
