File generated on // Fichier créé sur, 2024-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, SO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-01,0.1,0.1,0.1,0,0.1,0,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.1,0.1,0.1,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-02,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.2,0.3,0.4,0.4,0.5,1.1,2,1.1,0.7,0.9,0.5,0.4,0.3,0.3,0.3,0.3
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-03,0.4,0.5,1,0.6,0.6,0.8,0.8,0.8,0.7,0.6,0.7,0.4,0.6,0.4,0.3,0.3,0.3,0.2,0.3,0.2,0.2,0.2,0.2,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-04,0.2,0.3,0.3,0.6,1.3,1.3,1.7,1,1.7,2.1,1.4,0.9,0.9,1,0.7,0.4,0.4,0.3,0.3,0.3,0.3,0.2,0.3,0.5
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-05,0.5,0.6,0.8,0.7,1.2,1.2,0.8,1.3,2.3,1.2,0.9,0.6,0.9,0.6,0.4,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.3
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-06,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.2,0.1,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-07,0.2,0.3,0.2,0.4,0.4,0.6,0.8,1.5,2.6,2.9,2.4,0.7,0.7,0.8,0.8,1.4,1,0.7,0.7,0.6,0.9,0.9,1.1,0.9
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-08,0.6,0.6,0.6,0.8,1.5,2.4,1.9,2.6,4,4,5.1,3.5,1.1,0.5,0.4,0.2,0.2,0.2,0.1,0.1,0.2,0.3,0.3,0.3
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-09,0.3,0.4,0.5,0.6,0.6,0.6,0.5,0.5,0.6,0.6,0.5,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0,0.2,0.3,0,0.2,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-10,0.3,0.1,0,0,0,0.3,0.4,0.2,0.3,0.2,0.2,0.3,0.3,0.5,0.4,0.7,0.9,0.8,0.8,0.9,0.8,3.2,0.7,0.6
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-11,0.2,0.2,0.1,0.1,0.2,0.1,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.7,0.7,2.3,0.7,0.5,0.5,0.3,0.1,0.1,0.2,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-12,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.2,0.2,0.5,0.3,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-13,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.6,0.6,0.5,0.7,0.5,0.7,0.7,0.3,0.4,0.7,1,0.7,0.7,0.8,0.7,0.9,1
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-14,0.8,0.9,1.2,1.5,1,1.1,0.9,1.2,1.1,1.3,1,0.7,0.8,0.7,0.6,1,1.3,1.1,1.6,0.8,0.7,0.7,0.8,1.5
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-15,2,1.6,0.9,1.3,1.6,1.9,2.4,3.2,7.1,9.1,6.8,0.3,5.6,2.6,2.7,2,1.4,1.9,1.5,1,0.9,1.2,1.5,2.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2020-01-16,2.2,2.5,2.2,2.1,1.9,1.6,2.9,5.7,8,6.8,2.7,0.9,1,0.8,0.5,0.8,1.8,1.1,1.2,1,1.4,1.4,2.2,2.7
