File generated on // Fichier créé sur, 2025-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant // Polluant:, SO2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Units // Unités, ppb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Data is hour ending local standard time // Données en heure normale locale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Note // Note,Zeros are valid. -999 denotes no data available // Zéros sont valides .-999 Données non disponibles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant//Polluant,NAPS ID//Identifiant SNPA,City//Ville,Province/Territory//Province/Territoire,Latitude//Latitude,Longitude//Longitude,Date//Date,H01//H01,H02//H02,H03//H03,H04//H04,H05//H05,H06//H06,H07//H07,H08//H08,H09//H09,H10//H10,H11//H11,H12//H12,H13//H13,H14//H14,H15//H15,H16//H16,H17//H17,H18//H18,H19//H19,H20//H20,H21//H21,H22//H22,H23//H23,H24//H24
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-01,0,0,0,0,0.1,0.1,0,0,0,0.1,0.2,0.1,0.1,0.5,0,0,0,0.2,0.5,0.4,0.2,0.2,0.1,0.1
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-02,0,0,0.1,0,0,0.1,0,0.1,0.1,0.1,0.1,0,0,0,0,0.1,0,0.1,0.2,0,0.1,0.1,0.2,0.4
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-03,0.2,0.3,0.2,0.3,0.2,0.3,0.2,0.2,0.1,0.1,0,0.2,0.2,0.1,0.1,0,0.1,0.1,0.1,0,0.2,0.2,0,0
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-04,0,0.2,0,0.1,0,0.1,0.2,0.1,0.2,0.2,0.2,0,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.2,0.1
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-05,0.1,0,0,0.1,0.1,0.2,0.3,0,0,1.5,1.8,0.4,0.3,0.6,0.9,0.6,0.2,0.1,0.1,0.1,0.1,0,0.1,0.3
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-06,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-07,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.4,0.2,0,0.1,0,0,0.1,0.1,0.2,0
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-08,0.1,0.1,0.2,0.3,0.3,0.3,0.3,0.4,0.3,0.4,0.4,0.3,0.3,0.4,0.3,0.3,0.2,0.1,0.1,0,0,0.1,0,0.2
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-09,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0.2,0.5,0.1,0,0,0.1,0,0
SO2,010102,St. John's,NL,47.56038,-52.71147,2022-01-10,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0.1,0.2,0.1,0.1
